# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-12-01 09:23:02 EST       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03070260 CHEAT RIVER AT ALBRIGHT, WV
# -----------------------------------------------------------------------------------
#
# Data provided for site 03070260
#            TS   parameter     Description
#        160537       00060     Discharge, cubic feet per second
#        241533       00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	tz_cd	160537_00060	160537_00060_cd	241533_00065	241533_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	03070260	2019-06-27 00:00	EDT	4510	A	14.18	A
USGS	03070260	2019-06-27 00:15	EDT	4390	A	14.11	A
USGS	03070260	2019-06-27 00:30	EDT	4440	A	14.14	A
USGS	03070260	2019-06-27 00:45	EDT	4410	A	14.12	A
USGS	03070260	2019-06-27 01:00	EDT	4380	A	14.10	A
USGS	03070260	2019-06-27 01:15	EDT	4330	A	14.07	A
USGS	03070260	2019-06-27 01:30	EDT	4380	A	14.10	A
USGS	03070260	2019-06-27 01:45	EDT	4240	A	14.02	A
USGS	03070260	2019-06-27 02:00	EDT	4280	A	14.04	A
USGS	03070260	2019-06-27 02:15	EDT	4260	A	14.03	A
USGS	03070260	2019-06-27 02:30	EDT	4230	A	14.01	A
USGS	03070260	2019-06-27 02:45	EDT	4190	A	13.99	A
USGS	03070260	2019-06-27 03:00	EDT	4160	A	13.97	A
USGS	03070260	2019-06-27 03:15	EDT	4160	A	13.97	A
USGS	03070260	2019-06-27 03:30	EDT	4140	A	13.96	A
USGS	03070260	2019-06-27 03:45	EDT	4060	A	13.91	A
USGS	03070260	2019-06-27 04:00	EDT	4080	A	13.92	A
USGS	03070260	2019-06-27 04:15	EDT	4050	A	13.90	A
USGS	03070260	2019-06-27 04:30	EDT	4050	A	13.90	A
USGS	03070260	2019-06-27 04:45	EDT	4020	A	13.88	A
USGS	03070260	2019-06-27 05:00	EDT	3980	A	13.86	A
USGS	03070260	2019-06-27 05:15	EDT	3980	A	13.86	A
USGS	03070260	2019-06-27 05:30	EDT	3920	A	13.82	A
USGS	03070260	2019-06-27 05:45	EDT	3940	A	13.83	A
USGS	03070260	2019-06-27 06:00	EDT	3860	A	13.78	A
USGS	03070260	2019-06-27 06:15	EDT	3860	A	13.78	A
USGS	03070260	2019-06-27 06:30	EDT	3840	A	13.77	A
USGS	03070260	2019-06-27 06:45	EDT	3810	A	13.75	A
USGS	03070260	2019-06-27 07:00	EDT	3760	A	13.72	A
USGS	03070260	2019-06-27 07:15	EDT	3760	A	13.72	A
USGS	03070260	2019-06-27 07:30	EDT	3730	A	13.70	A
USGS	03070260	2019-06-27 07:45	EDT	3750	A	13.71	A
USGS	03070260	2019-06-27 08:00	EDT	3760	A	13.72	A
USGS	03070260	2019-06-27 08:15	EDT	3720	A	13.69	A
USGS	03070260	2019-06-27 08:30	EDT	3790	A	13.74	A
USGS	03070260	2019-06-27 08:45	EDT	3640	A	13.64	A
USGS	03070260	2019-06-27 09:00	EDT	3690	A	13.67	A
USGS	03070260	2019-06-27 09:15	EDT	3660	A	13.65	A
USGS	03070260	2019-06-27 09:30	EDT	3700	A	13.68	A
USGS	03070260	2019-06-27 09:45	EDT	3700	A	13.68	A
USGS	03070260	2019-06-27 10:00	EDT	3670	A	13.66	A
USGS	03070260	2019-06-27 10:15	EDT	3660	A	13.65	A
USGS	03070260	2019-06-27 10:30	EDT	3600	A	13.61	A
USGS	03070260	2019-06-27 10:45	EDT	3550	A	13.58	A
USGS	03070260	2019-06-27 11:00	EDT	3570	A	13.59	A
USGS	03070260	2019-06-27 11:15	EDT	3540	A	13.57	A
USGS	03070260	2019-06-27 11:30	EDT	3490	A	13.54	A
USGS	03070260	2019-06-27 11:45	EDT	3490	A	13.54	A
USGS	03070260	2019-06-27 12:00	EDT	3450	A	13.51	A
USGS	03070260	2019-06-27 12:15	EDT	3460	A	13.52	A
USGS	03070260	2019-06-27 12:30	EDT	3380	A	13.47	A
USGS	03070260	2019-06-27 12:45	EDT	3380	A	13.47	A
USGS	03070260	2019-06-27 13:00	EDT	3370	A	13.46	A
USGS	03070260	2019-06-27 13:15	EDT	3370	A	13.46	A
USGS	03070260	2019-06-27 13:30	EDT	3320	A	13.43	A
USGS	03070260	2019-06-27 13:45	EDT	3340	A	13.44	A
USGS	03070260	2019-06-27 14:00	EDT	3290	A	13.41	A
USGS	03070260	2019-06-27 14:15	EDT	3260	A	13.39	A
USGS	03070260	2019-06-27 14:30	EDT	3240	A	13.38	A
USGS	03070260	2019-06-27 14:45	EDT	3230	A	13.37	A
USGS	03070260	2019-06-27 15:00	EDT	3230	A	13.37	A
USGS	03070260	2019-06-27 15:15	EDT	3210	A	13.36	A
USGS	03070260	2019-06-27 15:30	EDT	3240	A	13.38	A
USGS	03070260	2019-06-27 15:45	EDT	3150	A	13.32	A
USGS	03070260	2019-06-27 16:00	EDT	3180	A	13.34	A
USGS	03070260	2019-06-27 16:15	EDT	3120	A	13.30	A
USGS	03070260	2019-06-27 16:30	EDT	3090	A	13.28	A
USGS	03070260	2019-06-27 16:45	EDT	3060	A	13.26	A
USGS	03070260	2019-06-27 17:00	EDT	3090	A	13.28	A
USGS	03070260	2019-06-27 17:15	EDT	3040	A	13.25	A
USGS	03070260	2019-06-27 17:30	EDT	3060	A	13.26	A
USGS	03070260	2019-06-27 17:45	EDT	3040	A	13.25	A
USGS	03070260	2019-06-27 18:00	EDT	3000	A	13.22	A
USGS	03070260	2019-06-27 18:15	EDT	2990	A	13.21	A
USGS	03070260	2019-06-27 18:30	EDT	2970	A	13.20	A
USGS	03070260	2019-06-27 18:45	EDT	2960	A	13.19	A
USGS	03070260	2019-06-27 19:00	EDT	3000	A	13.22	A
USGS	03070260	2019-06-27 19:15	EDT	2930	A	13.17	A
USGS	03070260	2019-06-27 19:30	EDT	2900	A	13.15	A
USGS	03070260	2019-06-27 19:45	EDT	2900	A	13.15	A
USGS	03070260	2019-06-27 20:00	EDT	2900	A	13.15	A
USGS	03070260	2019-06-27 20:15	EDT	2930	A	13.17	A
USGS	03070260	2019-06-27 20:30	EDT	2880	A	13.14	A
USGS	03070260	2019-06-27 20:45	EDT	2840	A	13.11	A
USGS	03070260	2019-06-27 21:00	EDT	2840	A	13.11	A
USGS	03070260	2019-06-27 21:15	EDT	2830	A	13.10	A
USGS	03070260	2019-06-27 21:30	EDT	2780	A	13.07	A
USGS	03070260	2019-06-27 21:45	EDT	2800	A	13.08	A
USGS	03070260	2019-06-27 22:00	EDT	2730	A	13.03	A
USGS	03070260	2019-06-27 22:15	EDT	2740	A	13.04	A
USGS	03070260	2019-06-27 22:30	EDT	2710	A	13.02	A
USGS	03070260	2019-06-27 22:45	EDT	2740	A	13.04	A
USGS	03070260	2019-06-27 23:00	EDT	2700	A	13.01	A
USGS	03070260	2019-06-27 23:15	EDT	2700	A	13.01	A
USGS	03070260	2019-06-27 23:30	EDT	2660	A	12.98	A
USGS	03070260	2019-06-27 23:45	EDT	2660	A	12.98	A
USGS	03070260	2019-06-28 00:00	EDT	2670	A	12.99	A
USGS	03070260	2019-06-28 00:15	EDT	2660	A	12.98	A
USGS	03070260	2019-06-28 00:30	EDT	2640	A	12.97	A
USGS	03070260	2019-06-28 00:45	EDT	2620	A	12.95	A
USGS	03070260	2019-06-28 01:00	EDT	2600	A	12.94	A
USGS	03070260	2019-06-28 01:15	EDT	2590	A	12.93	A
USGS	03070260	2019-06-28 01:30	EDT	2560	A	12.91	A
USGS	03070260	2019-06-28 01:45	EDT	2560	A	12.91	A
USGS	03070260	2019-06-28 02:00	EDT	2530	A	12.89	A
