# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-12-01 09:19:49 EST       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03066000 BLACKWATER RIVER AT DAVIS, WV
# -----------------------------------------------------------------------------------
#
# Data provided for site 03066000
#            TS   parameter     Description
#        160506       00060     Discharge, cubic feet per second
#        160511       00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	tz_cd	160506_00060	160506_00060_cd
5s	15s	20d	6s	14n	10s
USGS	03066000	2019-06-27 00:00	EDT	325	A
USGS	03066000	2019-06-27 00:15	EDT	320	A
USGS	03066000	2019-06-27 00:30	EDT	317	A
USGS	03066000	2019-06-27 00:45	EDT	315	A
USGS	03066000	2019-06-27 01:00	EDT	312	A
USGS	03066000	2019-06-27 01:15	EDT	310	A
USGS	03066000	2019-06-27 01:30	EDT	307	A
USGS	03066000	2019-06-27 01:45	EDT	305	A
USGS	03066000	2019-06-27 02:00	EDT	302	A
USGS	03066000	2019-06-27 02:15	EDT	300	A
USGS	03066000	2019-06-27 02:30	EDT	295	A
USGS	03066000	2019-06-27 02:45	EDT	295	A
USGS	03066000	2019-06-27 03:00	EDT	290	A
USGS	03066000	2019-06-27 03:15	EDT	287	A
USGS	03066000	2019-06-27 03:30	EDT	285	A
USGS	03066000	2019-06-27 03:45	EDT	282	A
USGS	03066000	2019-06-27 04:00	EDT	280	A
USGS	03066000	2019-06-27 04:15	EDT	277	A
USGS	03066000	2019-06-27 04:30	EDT	275	A
USGS	03066000	2019-06-27 04:45	EDT	272	A
USGS	03066000	2019-06-27 05:00	EDT	270	A
USGS	03066000	2019-06-27 05:15	EDT	268	A
USGS	03066000	2019-06-27 05:30	EDT	265	A
USGS	03066000	2019-06-27 05:45	EDT	263	A
USGS	03066000	2019-06-27 06:00	EDT	260	A
USGS	03066000	2019-06-27 06:15	EDT	258	A
USGS	03066000	2019-06-27 06:30	EDT	256	A
USGS	03066000	2019-06-27 06:45	EDT	253	A
USGS	03066000	2019-06-27 07:00	EDT	251	A
USGS	03066000	2019-06-27 07:15	EDT	251	A
USGS	03066000	2019-06-27 07:30	EDT	249	A
USGS	03066000	2019-06-27 07:45	EDT	246	A
