# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-12-01 09:25:22 EST       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03068800 SHAVERS FORK BELOW BOWDEN, WV
# -----------------------------------------------------------------------------------
#
# Data provided for site 03068800
#            TS   parameter     Description
#        160523       00060     Discharge, cubic feet per second
#        160524       00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	tz_cd	160523_00060	160523_00060_cd
5s	15s	20d	6s	14n	10s
USGS	03068800	2019-06-27 00:00	EDT	369	A
USGS	03068800	2019-06-27 00:15	EDT	369	A
USGS	03068800	2019-06-27 00:30	EDT	365	A
USGS	03068800	2019-06-27 00:45	EDT	365	A
USGS	03068800	2019-06-27 01:00	EDT	361	A
USGS	03068800	2019-06-27 01:15	EDT	361	A
USGS	03068800	2019-06-27 01:30	EDT	361	A
USGS	03068800	2019-06-27 01:45	EDT	361	A
USGS	03068800	2019-06-27 02:00	EDT	357	A
USGS	03068800	2019-06-27 02:15	EDT	357	A
USGS	03068800	2019-06-27 02:30	EDT	353	A
USGS	03068800	2019-06-27 02:45	EDT	353	A
USGS	03068800	2019-06-27 03:00	EDT	349	A
USGS	03068800	2019-06-27 03:15	EDT	349	A
USGS	03068800	2019-06-27 03:30	EDT	345	A
USGS	03068800	2019-06-27 03:45	EDT	345	A
USGS	03068800	2019-06-27 04:00	EDT	341	A
USGS	03068800	2019-06-27 04:15	EDT	341	A
USGS	03068800	2019-06-27 04:30	EDT	341	A
USGS	03068800	2019-06-27 04:45	EDT	338	A
USGS	03068800	2019-06-27 05:00	EDT	338	A
USGS	03068800	2019-06-27 05:15	EDT	334	A
USGS	03068800	2019-06-27 05:30	EDT	334	A
USGS	03068800	2019-06-27 05:45	EDT	334	A
USGS	03068800	2019-06-27 06:00	EDT	334	A
USGS	03068800	2019-06-27 06:15	EDT	334	A
USGS	03068800	2019-06-27 06:30	EDT	330	A
USGS	03068800	2019-06-27 06:45	EDT	330	A
USGS	03068800	2019-06-27 07:00	EDT	330	A
USGS	03068800	2019-06-27 07:15	EDT	326	A
USGS	03068800	2019-06-27 07:30	EDT	326	A
USGS	03068800	2019-06-27 07:45	EDT	326	A
USGS	03068800	2019-06-27 08:00	EDT	322	A
USGS	03068800	2019-06-27 08:15	EDT	322	A
USGS	03068800	2019-06-27 08:30	EDT	322	A
USGS	03068800	2019-06-27 08:45	EDT	319	A
USGS	03068800	2019-06-27 09:00	EDT	319	A
USGS	03068800	2019-06-27 09:15	EDT	319	A
USGS	03068800	2019-06-27 09:30	EDT	319	A
USGS	03068800	2019-06-27 09:45	EDT	315	A
USGS	03068800	2019-06-27 10:00	EDT	315	A
USGS	03068800	2019-06-27 10:15	EDT	315	A
USGS	03068800	2019-06-27 10:30	EDT	312	A
USGS	03068800	2019-06-27 10:45	EDT	315	A
USGS	03068800	2019-06-27 11:00	EDT	312	A
USGS	03068800	2019-06-27 11:15	EDT	312	A
USGS	03068800	2019-06-27 11:30	EDT	308	A
USGS	03068800	2019-06-27 11:45	EDT	308	A
USGS	03068800	2019-06-27 12:00	EDT	308	A
USGS	03068800	2019-06-27 12:15	EDT	304	A
USGS	03068800	2019-06-27 12:30	EDT	304	A
USGS	03068800	2019-06-27 12:45	EDT	301	A
USGS	03068800	2019-06-27 13:00	EDT	304	A
USGS	03068800	2019-06-27 13:15	EDT	304	A
USGS	03068800	2019-06-27 13:30	EDT	301	A
USGS	03068800	2019-06-27 13:45	EDT	301	A
USGS	03068800	2019-06-27 14:00	EDT	301	A
USGS	03068800	2019-06-27 14:15	EDT	297	A
USGS	03068800	2019-06-27 14:30	EDT	297	A
USGS	03068800	2019-06-27 14:45	EDT	294	A
USGS	03068800	2019-06-27 15:00	EDT	294	A
USGS	03068800	2019-06-27 15:15	EDT	294	A
USGS	03068800	2019-06-27 15:30	EDT	294	A
USGS	03068800	2019-06-27 15:45	EDT	290	A
USGS	03068800	2019-06-27 16:00	EDT	290	A
USGS	03068800	2019-06-27 16:15	EDT	290	A
USGS	03068800	2019-06-27 16:30	EDT	287	A
USGS	03068800	2019-06-27 16:45	EDT	287	A
USGS	03068800	2019-06-27 17:00	EDT	283	A
USGS	03068800	2019-06-27 17:15	EDT	283	A
USGS	03068800	2019-06-27 17:30	EDT	280	A
USGS	03068800	2019-06-27 17:45	EDT	280	A
USGS	03068800	2019-06-27 18:00	EDT	280	A
USGS	03068800	2019-06-27 18:15	EDT	277	A
USGS	03068800	2019-06-27 18:30	EDT	277	A
USGS	03068800	2019-06-27 18:45	EDT	273	A
USGS	03068800	2019-06-27 19:00	EDT	273	A
USGS	03068800	2019-06-27 19:15	EDT	270	A
USGS	03068800	2019-06-27 19:30	EDT	270	A
USGS	03068800	2019-06-27 19:45	EDT	270	A
USGS	03068800	2019-06-27 20:00	EDT	270	A
USGS	03068800	2019-06-27 20:15	EDT	267	A
USGS	03068800	2019-06-27 20:30	EDT	267	A
USGS	03068800	2019-06-27 20:45	EDT	263	A
USGS	03068800	2019-06-27 21:00	EDT	263	A
USGS	03068800	2019-06-27 21:15	EDT	260	A
USGS	03068800	2019-06-27 21:30	EDT	260	A
USGS	03068800	2019-06-27 21:45	EDT	260	A
USGS	03068800	2019-06-27 22:00	EDT	260	A
USGS	03068800	2019-06-27 22:15	EDT	257	A
USGS	03068800	2019-06-27 22:30	EDT	257	A
USGS	03068800	2019-06-27 22:45	EDT	257	A
USGS	03068800	2019-06-27 23:00	EDT	254	A
USGS	03068800	2019-06-27 23:15	EDT	251	A
USGS	03068800	2019-06-27 23:30	EDT	251	A
USGS	03068800	2019-06-27 23:45	EDT	251	A
USGS	03068800	2019-06-28 00:00	EDT	251	A
USGS	03068800	2019-06-28 00:15	EDT	247	A
USGS	03068800	2019-06-28 00:30	EDT	247	A
USGS	03068800	2019-06-28 00:45	EDT	247	A
USGS	03068800	2019-06-28 01:00	EDT	247	A
USGS	03068800	2019-06-28 01:15	EDT	244	A
USGS	03068800	2019-06-28 01:30	EDT	244	A
