# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-12-01 09:26:27 EST       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03065000 DRY FORK AT HENDRICKS, WV
# -----------------------------------------------------------------------------------
#
# Data provided for site 03065000
#            TS   parameter     Description
#        160497       00060     Discharge, cubic feet per second
#        160498       00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	tz_cd	160497_00060	160497_00060_cd
5s	15s	20d	6s	14n	10s
USGS	03065000	2019-06-27 00:00	EDT	1160	A
USGS	03065000	2019-06-27 00:15	EDT	1150	A
USGS	03065000	2019-06-27 00:30	EDT	1140	A
USGS	03065000	2019-06-27 00:45	EDT	1130	A
USGS	03065000	2019-06-27 01:00	EDT	1130	A
USGS	03065000	2019-06-27 01:15	EDT	1110	A
USGS	03065000	2019-06-27 01:30	EDT	1110	A
USGS	03065000	2019-06-27 01:45	EDT	1110	A
USGS	03065000	2019-06-27 02:00	EDT	1100	A
USGS	03065000	2019-06-27 02:15	EDT	1090	A
USGS	03065000	2019-06-27 02:30	EDT	1090	A
USGS	03065000	2019-06-27 02:45	EDT	1080	A
USGS	03065000	2019-06-27 03:00	EDT	1080	A
USGS	03065000	2019-06-27 03:15	EDT	1080	A
USGS	03065000	2019-06-27 03:30	EDT	1060	A
USGS	03065000	2019-06-27 03:45	EDT	1060	A
USGS	03065000	2019-06-27 04:00	EDT	1050	A
USGS	03065000	2019-06-27 04:15	EDT	1040	A
USGS	03065000	2019-06-27 04:30	EDT	1040	A
USGS	03065000	2019-06-27 04:45	EDT	1040	A
USGS	03065000	2019-06-27 05:00	EDT	1030	A
USGS	03065000	2019-06-27 05:15	EDT	1030	A
USGS	03065000	2019-06-27 05:30	EDT	1020	A
USGS	03065000	2019-06-27 05:45	EDT	1020	A
USGS	03065000	2019-06-27 06:00	EDT	1020	A
USGS	03065000	2019-06-27 06:15	EDT	1000	A
USGS	03065000	2019-06-27 06:30	EDT	1000	A
USGS	03065000	2019-06-27 06:45	EDT	992	A
USGS	03065000	2019-06-27 07:00	EDT	992	A
USGS	03065000	2019-06-27 07:15	EDT	992	A
USGS	03065000	2019-06-27 07:30	EDT	980	A
USGS	03065000	2019-06-27 07:45	EDT	980	A
USGS	03065000	2019-06-27 08:00	EDT	980	A
USGS	03065000	2019-06-27 08:15	EDT	969	A
USGS	03065000	2019-06-27 08:30	EDT	969	A
USGS	03065000	2019-06-27 08:45	EDT	969	A
USGS	03065000	2019-06-27 09:00	EDT	957	A
USGS	03065000	2019-06-27 09:15	EDT	957	A
USGS	03065000	2019-06-27 09:30	EDT	957	A
USGS	03065000	2019-06-27 09:45	EDT	957	A
USGS	03065000	2019-06-27 10:00	EDT	946	A
USGS	03065000	2019-06-27 10:15	EDT	946	A
USGS	03065000	2019-06-27 10:30	EDT	935	A
USGS	03065000	2019-06-27 10:45	EDT	935	A
USGS	03065000	2019-06-27 11:00	EDT	924	A
USGS	03065000	2019-06-27 11:15	EDT	924	A
USGS	03065000	2019-06-27 11:30	EDT	924	A
USGS	03065000	2019-06-27 11:45	EDT	924	A
