# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-12-01 09:27:24 EST       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03069500 CHEAT RIVER NEAR PARSONS, WV
# -----------------------------------------------------------------------------------
#
# Data provided for site 03069500
#            TS   parameter     Description
#        160528       00060     Discharge, cubic feet per second
#        160529       00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	tz_cd	160528_00060	160528_00060_cd	160529_00065	160529_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	03069500	2019-06-27 00:00	EDT	2570	A	5.53	A
USGS	03069500	2019-06-27 00:15	EDT	2540	A	5.51	A
USGS	03069500	2019-06-27 00:30	EDT	2530	A	5.50	A
USGS	03069500	2019-06-27 00:45	EDT	2520	A	5.49	A
USGS	03069500	2019-06-27 01:00	EDT	2490	A	5.47	A
USGS	03069500	2019-06-27 01:15	EDT	2480	A	5.46	A
USGS	03069500	2019-06-27 01:30	EDT	2460	A	5.45	A
USGS	03069500	2019-06-27 01:45	EDT	2450	A	5.44	A
USGS	03069500	2019-06-27 02:00	EDT	2420	A	5.42	A
USGS	03069500	2019-06-27 02:15	EDT	2410	A	5.41	A
USGS	03069500	2019-06-27 02:30	EDT	2380	A	5.39	A
USGS	03069500	2019-06-27 02:45	EDT	2380	A	5.39	A
USGS	03069500	2019-06-27 03:00	EDT	2360	A	5.37	A
USGS	03069500	2019-06-27 03:15	EDT	2330	A	5.35	A
USGS	03069500	2019-06-27 03:30	EDT	2330	A	5.35	A
USGS	03069500	2019-06-27 03:45	EDT	2320	A	5.34	A
USGS	03069500	2019-06-27 04:00	EDT	2310	A	5.33	A
USGS	03069500	2019-06-27 04:15	EDT	2280	A	5.31	A
USGS	03069500	2019-06-27 04:30	EDT	2270	A	5.30	A
USGS	03069500	2019-06-27 04:45	EDT	2260	A	5.29	A
USGS	03069500	2019-06-27 05:00	EDT	2240	A	5.28	A
USGS	03069500	2019-06-27 05:15	EDT	2230	A	5.27	A
USGS	03069500	2019-06-27 05:30	EDT	2210	A	5.25	A
USGS	03069500	2019-06-27 05:45	EDT	2190	A	5.24	A
USGS	03069500	2019-06-27 06:00	EDT	2190	A	5.24	A
USGS	03069500	2019-06-27 06:15	EDT	2180	A	5.23	A
USGS	03069500	2019-06-27 06:30	EDT	2160	A	5.21	A
USGS	03069500	2019-06-27 06:45	EDT	2160	A	5.21	A
USGS	03069500	2019-06-27 07:00	EDT	2140	A	5.20	A
USGS	03069500	2019-06-27 07:15	EDT	2110	A	5.17	A
USGS	03069500	2019-06-27 07:30	EDT	2110	A	5.17	A
USGS	03069500	2019-06-27 07:45	EDT	2110	A	5.17	A
USGS	03069500	2019-06-27 08:00	EDT	2080	A	5.15	A
USGS	03069500	2019-06-27 08:15	EDT	2090	A	5.16	A
USGS	03069500	2019-06-27 08:30	EDT	2080	A	5.15	A
USGS	03069500	2019-06-27 08:45	EDT	2070	A	5.14	A
USGS	03069500	2019-06-27 09:00	EDT	2060	A	5.13	A
USGS	03069500	2019-06-27 09:15	EDT	2030	A	5.11	A
USGS	03069500	2019-06-27 09:30	EDT	2020	A	5.10	A
USGS	03069500	2019-06-27 09:45	EDT	2020	A	5.10	A
USGS	03069500	2019-06-27 10:00	EDT	2010	A	5.09	A
USGS	03069500	2019-06-27 10:15	EDT	2000	A	5.08	A
USGS	03069500	2019-06-27 10:30	EDT	1970	A	5.06	A
USGS	03069500	2019-06-27 10:45	EDT	1970	A	5.06	A
USGS	03069500	2019-06-27 11:00	EDT	1960	A	5.05	A
USGS	03069500	2019-06-27 11:15	EDT	1950	A	5.04	A
USGS	03069500	2019-06-27 11:30	EDT	1940	A	5.03	A
USGS	03069500	2019-06-27 11:45	EDT	1930	A	5.02	A
USGS	03069500	2019-06-27 12:00	EDT	1900	A	5.00	A
USGS	03069500	2019-06-27 12:15	EDT	1920	A	5.01	A
USGS	03069500	2019-06-27 12:30	EDT	1890	A	4.99	A
USGS	03069500	2019-06-27 12:45	EDT	1890	A	4.99	A
USGS	03069500	2019-06-27 13:00	EDT	1860	A	4.96	A
USGS	03069500	2019-06-27 13:15	EDT	1870	A	4.97	A
USGS	03069500	2019-06-27 13:30	EDT	1860	A	4.96	A
USGS	03069500	2019-06-27 13:45	EDT	1860	A	4.96	A
USGS	03069500	2019-06-27 14:00	EDT	1840	A	4.94	A
USGS	03069500	2019-06-27 14:15	EDT	1840	A	4.94	A
USGS	03069500	2019-06-27 14:30	EDT	1840	A	4.94	A
USGS	03069500	2019-06-27 14:45	EDT	1820	A	4.92	A
USGS	03069500	2019-06-27 15:00	EDT	1810	A	4.91	A
USGS	03069500	2019-06-27 15:15	EDT	1810	A	4.91	A
USGS	03069500	2019-06-27 15:30	EDT	1800	A	4.90	A
USGS	03069500	2019-06-27 15:45	EDT	1790	A	4.89	A
USGS	03069500	2019-06-27 16:00	EDT	1780	A	4.88	A
USGS	03069500	2019-06-27 16:15	EDT	1760	A	4.86	A
USGS	03069500	2019-06-27 16:30	EDT	1770	A	4.87	A
USGS	03069500	2019-06-27 16:45	EDT	1760	A	4.86	A
USGS	03069500	2019-06-27 17:00	EDT	1750	A	4.85	A
USGS	03069500	2019-06-27 17:15	EDT	1750	A	4.85	A
USGS	03069500	2019-06-27 17:30	EDT	1730	A	4.83	A
USGS	03069500	2019-06-27 17:45	EDT	1730	A	4.83	A
USGS	03069500	2019-06-27 18:00	EDT	1720	A	4.82	A
USGS	03069500	2019-06-27 18:15	EDT	1710	A	4.81	A
USGS	03069500	2019-06-27 18:30	EDT	1710	A	4.81	A
USGS	03069500	2019-06-27 18:45	EDT	1690	A	4.79	A
USGS	03069500	2019-06-27 19:00	EDT	1680	A	4.78	A
