# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-12-01 09:23:47 EST       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03070500 BIG SANDY CREEK AT ROCKVILLE, WV
# -----------------------------------------------------------------------------------
#
# Data provided for site 03070500
#            TS   parameter     Description
#        160543       00060     Discharge, cubic feet per second
#        160544       00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	tz_cd	160543_00060	160543_00060_cd
5s	15s	20d	6s	14n	10s
USGS	03070500	2019-06-27 00:00	EDT	234	A
USGS	03070500	2019-06-27 00:15	EDT	234	A
USGS	03070500	2019-06-27 00:30	EDT	231	A
USGS	03070500	2019-06-27 00:45	EDT	231	A
USGS	03070500	2019-06-27 01:00	EDT	234	A
USGS	03070500	2019-06-27 01:15	EDT	234	A
USGS	03070500	2019-06-27 01:30	EDT	231	A
USGS	03070500	2019-06-27 01:45	EDT	231	A
USGS	03070500	2019-06-27 02:00	EDT	231	A
USGS	03070500	2019-06-27 02:15	EDT	229	A
USGS	03070500	2019-06-27 02:30	EDT	231	A
USGS	03070500	2019-06-27 02:45	EDT	229	A
USGS	03070500	2019-06-27 03:00	EDT	226	A
USGS	03070500	2019-06-27 03:15	EDT	226	A
USGS	03070500	2019-06-27 03:30	EDT	226	A
USGS	03070500	2019-06-27 03:45	EDT	223	A
USGS	03070500	2019-06-27 04:00	EDT	221	A
USGS	03070500	2019-06-27 04:15	EDT	223	A
USGS	03070500	2019-06-27 04:30	EDT	223	A
USGS	03070500	2019-06-27 04:45	EDT	223	A
USGS	03070500	2019-06-27 05:00	EDT	226	A
USGS	03070500	2019-06-27 05:15	EDT	223	A
USGS	03070500	2019-06-27 05:30	EDT	226	A
USGS	03070500	2019-06-27 05:45	EDT	223	A
USGS	03070500	2019-06-27 06:00	EDT	231	A
USGS	03070500	2019-06-27 06:15	EDT	226	A
USGS	03070500	2019-06-27 06:30	EDT	229	A
USGS	03070500	2019-06-27 06:45	EDT	231	A
USGS	03070500	2019-06-27 07:00	EDT	234	A
USGS	03070500	2019-06-27 07:15	EDT	237	A
USGS	03070500	2019-06-27 07:30	EDT	239	A
USGS	03070500	2019-06-27 07:45	EDT	250	A
USGS	03070500	2019-06-27 08:00	EDT	250	A
USGS	03070500	2019-06-27 08:15	EDT	250	A
USGS	03070500	2019-06-27 08:30	EDT	245	A
USGS	03070500	2019-06-27 08:45	EDT	247	A
USGS	03070500	2019-06-27 09:00	EDT	247	A
USGS	03070500	2019-06-27 09:15	EDT	253	A
USGS	03070500	2019-06-27 09:30	EDT	256	A
USGS	03070500	2019-06-27 09:45	EDT	256	A
USGS	03070500	2019-06-27 10:00	EDT	259	A
USGS	03070500	2019-06-27 10:15	EDT	259	A
USGS	03070500	2019-06-27 10:30	EDT	262	A
USGS	03070500	2019-06-27 10:45	EDT	259	A
USGS	03070500	2019-06-27 11:00	EDT	256	A
USGS	03070500	2019-06-27 11:15	EDT	250	A
USGS	03070500	2019-06-27 11:30	EDT	253	A
USGS	03070500	2019-06-27 11:45	EDT	250	A
USGS	03070500	2019-06-27 12:00	EDT	247	A
USGS	03070500	2019-06-27 12:15	EDT	247	A
USGS	03070500	2019-06-27 12:30	EDT	247	A
USGS	03070500	2019-06-27 12:45	EDT	245	A
USGS	03070500	2019-06-27 13:00	EDT	245	A
USGS	03070500	2019-06-27 13:15	EDT	242	A
USGS	03070500	2019-06-27 13:30	EDT	239	A
USGS	03070500	2019-06-27 13:45	EDT	239	A
USGS	03070500	2019-06-27 14:00	EDT	239	A
USGS	03070500	2019-06-27 14:15	EDT	239	A
USGS	03070500	2019-06-27 14:30	EDT	237	A
USGS	03070500	2019-06-27 14:45	EDT	237	A
USGS	03070500	2019-06-27 15:00	EDT	237	A
USGS	03070500	2019-06-27 15:15	EDT	234	A
USGS	03070500	2019-06-27 15:30	EDT	234	A
USGS	03070500	2019-06-27 15:45	EDT	231	A
USGS	03070500	2019-06-27 16:00	EDT	231	A
USGS	03070500	2019-06-27 16:15	EDT	229	A
USGS	03070500	2019-06-27 16:30	EDT	229	A
USGS	03070500	2019-06-27 16:45	EDT	226	A
USGS	03070500	2019-06-27 17:00	EDT	229	A
USGS	03070500	2019-06-27 17:15	EDT	226	A
USGS	03070500	2019-06-27 17:30	EDT	226	A
USGS	03070500	2019-06-27 17:45	EDT	226	A
